0 , 0 , 0 , 0 , 1
0.129032 , 0.0322581 , 0.0322581 , 0.0967742 , 31
0.0655738 , 0.131148 , 0.0163934 , 0.0983607 , 61
0.0879121 , 0.120879 , 0.043956 , 0.0989011 , 91
0.0909091 , 0.0991736 , 0.0743802 , 0.0826446 , 121
0.0728477 , 0.0927152 , 0.0728477 , 0.0794702 , 151
0.0607735 , 0.0828729 , 0.0607735 , 0.0994475 , 181
0.0663507 , 0.0805687 , 0.0616114 , 0.0900474 , 211
0.0705394 , 0.0705394 , 0.0580913 , 0.0912863 , 241
0.0627306 , 0.0701107 , 0.0553506 , 0.0885609 , 271
0.0564784 , 0.0697674 , 0.0531561 , 0.0863787 , 301
0.060423 , 0.0725076 , 0.0483384 , 0.0845921 , 331
0.066482 , 0.0692521 , 0.0470914 , 0.0775623 , 361
0.0639386 , 0.0741688 , 0.0485933 , 0.0716113 , 391
0.0688836 , 0.0688836 , 0.0451306 , 0.0712589 , 421
0.0709534 , 0.0643016 , 0.0443459 , 0.0687361 , 451
0.0686071 , 0.0686071 , 0.047817 , 0.0686071 , 481
0.0665362 , 0.072407 , 0.0469667 , 0.0665362 , 511
0.0683919 , 0.0720887 , 0.0462107 , 0.0628466 , 541
0.0683012 , 0.0700525 , 0.0472855 , 0.0595447 , 571
0.0665557 , 0.0698835 , 0.0499168 , 0.0615641 , 601
0.066561 , 0.0713154 , 0.0475436 , 0.0602219 , 631
0.0695915 , 0.0680787 , 0.0453858 , 0.0574887 , 661
0.0694645 , 0.0665702 , 0.0463097 , 0.0564399 , 691
0.0721221 , 0.0651872 , 0.0457698 , 0.0554785 , 721
0.0745672 , 0.0652463 , 0.045273 , 0.0532623 , 751
0.0729834 , 0.0653009 , 0.0448143 , 0.0512164 , 781
0.0727497 , 0.0641184 , 0.0443896 , 0.0517879 , 811
0.0701546 , 0.0630202 , 0.0428062 , 0.059453 , 841
0.0677382 , 0.0608496 , 0.0424799 , 0.0585534 , 871
0.0654828 , 0.0588235 , 0.0421754 , 0.0599334 , 901
0.0644468 , 0.0590763 , 0.0429646 , 0.0612245 , 931
0.0634755 , 0.057232 , 0.0457856 , 0.0613944 , 961
0.0635721 , 0.0554995 , 0.0474268 , 0.0595358 , 991
0.0636631 , 0.0538688 , 0.0489716 , 0.0607248 , 1021
0.0618459 , 0.0532826 , 0.0485252 , 0.0599429 , 1051
0.0629047 , 0.0518039 , 0.0499537 , 0.0610546 , 1081
0.0621062 , 0.0522052 , 0.0522052 , 0.060306 , 1111
0.0604733 , 0.0543383 , 0.0508326 , 0.0595968 , 1141
0.058924 , 0.0529462 , 0.0503843 , 0.0614859 , 1171
0.0574521 , 0.0541216 , 0.0491257 , 0.062448 , 1201
0.0568643 , 0.0528026 , 0.0495532 , 0.0617384 , 1231
0.0563045 , 0.0523394 , 0.0499603 , 0.0618557 , 1261
0.0557707 , 0.0518978 , 0.0487994 , 0.0619675 , 1291
0.0567752 , 0.0522332 , 0.0492051 , 0.0628312 , 1321
0.0562546 , 0.0518135 , 0.0488527 , 0.0621762 , 1351
0.0564808 , 0.0506879 , 0.0485156 , 0.0622737 , 1381
0.0559887 , 0.0503189 , 0.0481928 , 0.0616584 , 1411
0.055517 , 0.0492713 , 0.0499653 , 0.0610687 , 1441
0.0564242 , 0.0496261 , 0.0516655 , 0.0618627 , 1471
0.0572951 , 0.0499667 , 0.0519654 , 0.0606262 , 1501
0.0568256 , 0.0496408 , 0.0509471 , 0.0600914 , 1531
0.0570147 , 0.0518898 , 0.0512492 , 0.0602178 , 1561
0.0584538 , 0.052797 , 0.0502828 , 0.0609679 , 1591
0.0592227 , 0.0524368 , 0.0505861 , 0.0604565 , 1621
0.0587523 , 0.0520896 , 0.0496669 , 0.059358 , 1651
0.0582986 , 0.0523498 , 0.0487805 , 0.0600833 , 1681
0.0584454 , 0.0526008 , 0.0490941 , 0.0601987 , 1711
0.0591614 , 0.0516944 , 0.0488225 , 0.0597358 , 1741
0.0592885 , 0.0513834 , 0.0479955 , 0.0587239 , 1771
0.0583009 , 0.051638 , 0.0477512 , 0.0583009 , 1801
0.0578919 , 0.0540688 , 0.0480612 , 0.0573457 , 1831
0.0569586 , 0.0537346 , 0.0483611 , 0.0580333 , 1861
0.0565838 , 0.0534109 , 0.0481227 , 0.0581703 , 1891
0.0557002 , 0.0541385 , 0.0484123 , 0.058303 , 1921
0.0558688 , 0.0543311 , 0.0481804 , 0.0589441 , 1951
0.0555275 , 0.0540131 , 0.0479556 , 0.0585563 , 1981
0.0546992 , 0.0542019 , 0.0472402 , 0.0576827 , 2011
0.055855 , 0.0534052 , 0.0475257 , 0.0568349 , 2041
0.0564944 , 0.0535973 , 0.0487687 , 0.0564944 , 2071
0.0580676 , 0.052832 , 0.0504522 , 0.0571157 , 2101
0.0581886 , 0.0520882 , 0.0502112 , 0.0563116 , 2131
0.0573808 , 0.0518279 , 0.0495141 , 0.0578436 , 2161
0.0565952 , 0.052031 , 0.0488361 , 0.0570516 , 2191
0.0571815 , 0.0517785 , 0.0495272 , 0.0571815 , 2221
0.0573079 , 0.0510884 , 0.0497557 , 0.0568636 , 2251
0.057431 , 0.0508549 , 0.0495397 , 0.0565541 , 2281
0.0579836 , 0.0506274 , 0.0510601 , 0.0566854 , 2311
0.0572405 , 0.0512601 , 0.0504058 , 0.0572405 , 2341
0.056938 , 0.0510333 , 0.0501898 , 0.0577815 , 2371
0.0566431 , 0.0520616 , 0.0499792 , 0.0578925 , 2401
0.0567668 , 0.0518305 , 0.0505965 , 0.0580008 , 2431
0.0560748 , 0.051605 , 0.050386 , 0.0589191 , 2461
0.0562023 , 0.051385 , 0.0505821 , 0.0594139 , 2491
0.0559302 , 0.0531535 , 0.0499802 , 0.0591035 , 2521
0.0560564 , 0.0533124 , 0.0505684 , 0.0584085 , 2551
0.0569547 , 0.0526928 , 0.0503681 , 0.0577296 , 2581
0.0566833 , 0.0524703 , 0.0505553 , 0.0574493 , 2611
0.0560394 , 0.0522529 , 0.0499811 , 0.0571753 , 2641
0.05541 , 0.0524148 , 0.0497941 , 0.0572819 , 2671
0.055535 , 0.0525731 , 0.0496113 , 0.0566457 , 2701
0.0563896 , 0.0527279 , 0.0497986 , 0.0574881 , 2731
0.0565013 , 0.0525172 , 0.0499819 , 0.0575878 , 2761
0.0569688 , 0.052311 , 0.0505195 , 0.0573271 , 2791
0.057072 , 0.0521092 , 0.0499823 , 0.0581354 , 2821
0.0568222 , 0.0515609 , 0.0498071 , 0.0578744 , 2851
0.0565776 , 0.0513711 , 0.0492884 , 0.0576189 , 2881
0.0566816 , 0.0518722 , 0.0494675 , 0.0570251 , 2911
0.0567834 , 0.0516831 , 0.049303 , 0.0567834 , 2941
0.0568832 , 0.0514978 , 0.0494783 , 0.05621 , 2971
0.0573142 , 0.0516495 , 0.0499833 , 0.0559813 , 3001
0.0574068 , 0.0511382 , 0.0498185 , 0.0557572 , 3031
0.0571709 , 0.0509637 , 0.0493303 , 0.0558641 , 3061
0.0569395 , 0.0507926 , 0.0488515 , 0.0553219 , 3091
0.0567126 , 0.0512656 , 0.0490227 , 0.0551105 , 3121
0.0568074 , 0.0514123 , 0.0491907 , 0.0549032 , 3151
0.056586 , 0.0515561 , 0.0496699 , 0.0546998 , 3181
0.0566802 , 0.0516973 , 0.0501401 , 0.0545002 , 3211
0.0564641 , 0.0518359 , 0.0502931 , 0.0543042 , 3241
0.0562519 , 0.0516662 , 0.0504433 , 0.0538062 , 3271
0.0560436 , 0.0511966 , 0.0502878 , 0.0536201 , 3301
0.0555389 , 0.0510357 , 0.0498349 , 0.0540378 , 3331
0.0553407 , 0.0514728 , 0.0496876 , 0.0541506 , 3361
0.0554409 , 0.0519021 , 0.0495429 , 0.0539664 , 3391
0.0549547 , 0.0517393 , 0.0491084 , 0.0537854 , 3421
0.055636 , 0.051869 , 0.0492611 , 0.0538974 , 3451
0.0557311 , 0.0519966 , 0.0494111 , 0.0542947 , 3481
0.0558246 , 0.0518371 , 0.0498433 , 0.0541156 , 3511
0.0553516 , 0.0519627 , 0.0497035 , 0.0536572 , 3541
0.0551666 , 0.0518062 , 0.0495659 , 0.0546066 , 3571
0.0552624 , 0.0524854 , 0.049153 , 0.0544293 , 3601
0.0553567 , 0.0534288 , 0.0498485 , 0.0548058 , 3631
0.0554493 , 0.0538104 , 0.0499863 , 0.054903 , 3661
0.0552696 , 0.0533731 , 0.049851 , 0.0547277 , 3691
0.0567052 , 0.0529428 , 0.0502553 , 0.054824 , 3721
0.0567849 , 0.0533191 , 0.0503866 , 0.0543855 , 3751
0.0563343 , 0.0528961 , 0.0499868 , 0.0547474 , 3781
0.0564156 , 0.0527421 , 0.0501181 , 0.0545789 , 3811
0.0567561 , 0.0528508 , 0.0505077 , 0.055194 , 3841
0.0570912 , 0.0529579 , 0.0508912 , 0.0552829 , 3871
0.0571648 , 0.0530633 , 0.0507562 , 0.0548577 , 3901
0.056983 , 0.0531671 , 0.0506232 , 0.0546935 , 3931
0.0573088 , 0.0532694 , 0.0509972 , 0.0542792 , 3961
0.0571285 , 0.0533701 , 0.0518667 , 0.0541218 , 3991
0.056951 , 0.053718 , 0.0517284 , 0.0544641 , 4021
0.057023 , 0.0538139 , 0.0518391 , 0.0548013 , 4051
0.0568488 , 0.0534183 , 0.051458 , 0.0543984 , 4081
0.0569205 , 0.053515 , 0.0513257 , 0.0540015 , 4111
0.0569911 , 0.0531273 , 0.0511954 , 0.0538517 , 4141
0.0568209 , 0.0537041 , 0.0510669 , 0.0534644 , 4171
0.0571293 , 0.0533206 , 0.0514163 , 0.0540348 , 4201
0.0569605 , 0.0529426 , 0.0515245 , 0.0536516 , 4231
0.0565595 , 0.0528045 , 0.0511617 , 0.0537433 , 4261
0.0563971 , 0.0531345 , 0.0510371 , 0.0538336 , 4291
0.056237 , 0.052997 , 0.0509141 , 0.0536913 , 4321
0.0565387 , 0.0526316 , 0.0510228 , 0.0533211 , 4351
0.0561516 , 0.0524994 , 0.0506734 , 0.0531842 , 4381
0.0562231 , 0.0523691 , 0.0507821 , 0.0528225 , 4411
0.0565188 , 0.0524657 , 0.0506643 , 0.052916 , 4441
0.0563632 , 0.0521136 , 0.0503243 , 0.0532319 , 4471
0.0559876 , 0.0517663 , 0.0502111 , 0.0530993 , 4501
0.0560583 , 0.0514235 , 0.0507614 , 0.0529684 , 4531
0.0556895 , 0.0515238 , 0.0504275 , 0.0530585 , 4561
0.0557613 , 0.0516227 , 0.0507515 , 0.0529296 , 4591
0.0553993 , 0.051504 , 0.050422 , 0.052586 , 4621
0.0552569 , 0.0516018 , 0.0503118 , 0.0524618 , 4651
0.0553301 , 0.0514847 , 0.0504166 , 0.0523392 , 4681
0.0556145 , 0.0513691 , 0.0507323 , 0.0522182 , 4711
0.0561063 , 0.0510441 , 0.051255 , 0.0520987 , 4741
0.0561727 , 0.0511423 , 0.0511423 , 0.0517711 , 4771
0.0564466 , 0.0508227 , 0.0508227 , 0.0516559 , 4801
0.056303 , 0.0507141 , 0.0509211 , 0.0515421 , 4831
0.0561613 , 0.0506069 , 0.0506069 , 0.051224 , 4861
0.0562257 , 0.0505009 , 0.0505009 , 0.0515232 , 4891
0.0562894 , 0.050193 , 0.050193 , 0.0516155 , 4921
0.0565542 , 0.0504948 , 0.0498889 , 0.0521107 , 4951
0.0562136 , 0.050793 , 0.0495884 , 0.0528006 , 4981
0.0560766 , 0.0506885 , 0.0496907 , 0.0528837 , 5011
0.0567348 , 0.0505852 , 0.0499901 , 0.0533624 , 5041
0.0563991 , 0.0508775 , 0.0500887 , 0.0532439 , 5071
0.0562635 , 0.0511664 , 0.0497942 , 0.0533229 , 5101
0.0563243 , 0.0510622 , 0.0500877 , 0.053206 , 5131
0.0561907 , 0.0507654 , 0.0497966 , 0.0528967 , 5161
0.0564438 , 0.0506646 , 0.0497014 , 0.0527837 , 5191
0.0565026 , 0.0507566 , 0.0499904 , 0.0526719 , 5221
0.0563702 , 0.050657 , 0.0500857 , 0.0529423 , 5251
0.05605 , 0.0505586 , 0.0503692 , 0.0528309 , 5281
0.0564865 , 0.050273 , 0.0504613 , 0.0527208 , 5311
0.0563565 , 0.0505523 , 0.0503651 , 0.0531736 , 5341
0.0562279 , 0.05027 , 0.05027 , 0.0528766 , 5371
0.0562859 , 0.0507313 , 0.050361 , 0.052768 , 5401
0.0563432 , 0.0506352 , 0.0500829 , 0.0524765 , 5431
0.0560337 , 0.0507233 , 0.0498077 , 0.0523714 , 5461
0.0562739 , 0.0504462 , 0.0498998 , 0.0524495 , 5491
0.0559681 , 0.0505343 , 0.0498098 , 0.0523456 , 5521
0.0562061 , 0.0504414 , 0.0500811 , 0.0520627 , 5551
0.0562623 , 0.0503494 , 0.049991 , 0.0526787 , 5581
0.0564962 , 0.0500802 , 0.0502584 , 0.0525753 , 5611
0.0561957 , 0.0498139 , 0.0501684 , 0.0522957 , 5641
0.0560748 , 0.0497267 , 0.049903 , 0.0521954 , 5671
0.0559551 , 0.049465 , 0.0501666 , 0.0519207 , 5701
0.0556622 , 0.0492061 , 0.0504275 , 0.0519979 , 5731
0.0555459 , 0.049297 , 0.0503385 , 0.0520743 , 5761
0.0556035 , 0.0495597 , 0.0502504 , 0.0518045 , 5791
0.0558323 , 0.049476 , 0.0506786 , 0.0517093 , 5821
0.055717 , 0.0497351 , 0.0505896 , 0.051786 , 5851
0.0557728 , 0.0498215 , 0.0510117 , 0.0518619 , 5881
0.0558281 , 0.0502453 , 0.0514295 , 0.0517679 , 5911
0.0557145 , 0.0499916 , 0.0513382 , 0.0515065 , 5941
0.0557696 , 0.0500754 , 0.0512477 , 0.0514152 , 5971
0.0556574 , 0.0503249 , 0.0509915 , 0.0514914 , 6001
0.0557122 , 0.0500746 , 0.0510695 , 0.0512353 , 6031
0.0557664 , 0.0501567 , 0.0509817 , 0.0511467 , 6061
0.0558201 , 0.0500739 , 0.0508948 , 0.0512231 , 6091
0.0557099 , 0.0499918 , 0.0509721 , 0.0511354 , 6121
0.0560884 , 0.049748 , 0.0513738 , 0.0510486 , 6151
0.0561398 , 0.0498301 , 0.0512862 , 0.0508008 , 6181
0.0558686 , 0.0499114 , 0.0510385 , 0.0511995 , 6211
0.0557603 , 0.0496715 , 0.0507931 , 0.0512738 , 6241
0.0559719 , 0.0494339 , 0.0508691 , 0.0510285 , 6271
0.0560229 , 0.0496747 , 0.0506269 , 0.0515791 , 6301
0.0559153 , 0.0497552 , 0.0505449 , 0.0514927 , 6331
0.0561232 , 0.0496777 , 0.050621 , 0.051407 , 6361
0.0558598 , 0.0499139 , 0.0503834 , 0.0513222 , 6391
0.0559103 , 0.0499922 , 0.0503037 , 0.0515496 , 6421
0.0562703 , 0.0500698 , 0.0506898 , 0.0514649 , 6451
0.0561642 , 0.049838 , 0.0507638 , 0.0512267 , 6481
0.0563661 , 0.0499155 , 0.0506835 , 0.0511442 , 6511
0.056872 , 0.0501452 , 0.0507568 , 0.0512154 , 6541
0.0569168 , 0.0499163 , 0.0509816 , 0.051286 , 6571
0.0571126 , 0.0499924 , 0.0507499 , 0.0512044 , 6601
0.057005 , 0.0503695 , 0.0508219 , 0.0514251 , 6631
0.0567482 , 0.0507431 , 0.0507431 , 0.0511935 , 6661
0.0567927 , 0.0506651 , 0.050964 , 0.0514123 , 6691
0.0565392 , 0.0505877 , 0.0510341 , 0.051778 , 6721
0.0565842 , 0.050511 , 0.0511035 , 0.051696 , 6751
0.0563339 , 0.050435 , 0.0508775 , 0.0516148 , 6781
0.0563794 , 0.0505065 , 0.0508002 , 0.0515343 , 6811
0.0561321 , 0.0507236 , 0.0510159 , 0.0517468 , 6841
0.0560326 , 0.0506476 , 0.0507932 , 0.051812 , 6871
0.0559339 , 0.0508622 , 0.0507173 , 0.0518765 , 6901
0.0558361 , 0.0509306 , 0.050642 , 0.0520848 , 6931
0.0557391 , 0.0508548 , 0.0504238 , 0.0522913 , 6961
0.055643 , 0.0509226 , 0.0503504 , 0.0520669 , 6991
0.0554052 , 0.0509899 , 0.0501353 , 0.0521293 , 7021
0.0553113 , 0.0509148 , 0.0502056 , 0.0521912 , 7051
0.055077 , 0.0509815 , 0.0499929 , 0.0522525 , 7081
0.0551259 , 0.0507664 , 0.0499227 , 0.0524539 , 7111
0.0550343 , 0.0511133 , 0.049993 , 0.0522336 , 7141
0.0549435 , 0.0508995 , 0.0500628 , 0.0520151 , 7171
0.0551312 , 0.0506874 , 0.0502708 , 0.0520761 , 7201
0.0554557 , 0.0504771 , 0.0502005 , 0.0519983 , 7231
0.0552266 , 0.0504063 , 0.0501308 , 0.0521967 , 7261
0.0551365 , 0.050336 , 0.0504732 , 0.0522562 , 7291
0.0550471 , 0.0505395 , 0.0506761 , 0.0520421 , 7321
0.0548225 , 0.0506054 , 0.0506054 , 0.0521018 , 7351
0.0550061 , 0.0505352 , 0.0505352 , 0.0520255 , 7381
0.0550533 , 0.0510053 , 0.0510053 , 0.0519498 , 7411
0.0549657 , 0.050934 , 0.0512028 , 0.0517404 , 7441
0.0548789 , 0.0509972 , 0.051131 , 0.0516664 , 7471
0.0546594 , 0.0509265 , 0.0511932 , 0.0515931 , 7501
0.05484 , 0.0508565 , 0.0509892 , 0.0515204 , 7531
0.0548869 , 0.0506547 , 0.051316 , 0.0517127 , 7561
0.0550652 , 0.0509814 , 0.0512449 , 0.0516401 , 7591
0.0548484 , 0.0511744 , 0.0511744 , 0.0518305 , 7621
0.0547641 , 0.0512351 , 0.0514965 , 0.0518886 , 7651
0.0546804 , 0.0515558 , 0.0514256 , 0.0518162 , 7681
0.054727 , 0.0516146 , 0.0513552 , 0.0518739 , 7711
0.0549025 , 0.0516729 , 0.0516729 , 0.0518021 , 7741
0.0549479 , 0.0517308 , 0.0517308 , 0.0517308 , 7771
0.0551211 , 0.0515319 , 0.0520446 , 0.0515319 , 7801
0.0550377 , 0.0514621 , 0.0522283 , 0.0515898 , 7831
0.055082 , 0.0515202 , 0.0522834 , 0.0515202 , 7861
0.0551261 , 0.0515777 , 0.0523381 , 0.051451 , 7891
0.0551698 , 0.0513824 , 0.0523924 , 0.0515086 , 7921
0.0549616 , 0.0514401 , 0.0524462 , 0.0513143 , 7951
0.054755 , 0.0514973 , 0.0522491 , 0.0514973 , 7981
